שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
929,מיזם,,,,,,,2014,https://www.929.org.il/today,,,,,,,,,1
ניסן לימור,איש,,,,,"דוקטור ניסן לימור
",,,,,,דוקטור,,,,,,2
Inter-Agency Task Force on Israeli Arab Issues,ארגון,,Inter-Agency Task Force on Israeli Arab Issues,,"ארה""ב","גוף שמאל, ראשיו אנשים משפיעים הקשורים לקרן החדשה",,,http://www.iataskforce.org/node/27,,,,,,,,,3
 The National Council for Jewish Women,קרן,, The National Council for Jewish Women,,,,,,,,,,,,,,,4
תכנית פולברייט,גוף ממשלתי,Fulbright Scholar Program,Fulbright Scholar Program,,"ארה""ב","תוכנית של הממשל האמריקאי להקצאת מענקי מימון לחילופי סטודנטים, חוקרים ומרצים, אשר נחשבת לאחת מתוכניות המלגות היוקרתיות ביותר בעולם.",,1946,,,,,,,,,,5
דרור בן מרדכי,איש,,,,,פסיכולוג קליני,,,,,,,,,,,,6
אדר כהן,איש,,,,,"דוקטור אדר כהן
",,,,,,דוקטור,,,,,,7
פורום הקרנות בישראל,פורום,,,,,,,,,,,,,,,,,8
יהושע שופמן,איש,,,f,,"משפטן ובוגר תוכנית המשפטנים של הקרן החדשה לישראל; כיהן כיועץ המשפטי של האגודה לזכויות האזרח בישראל וכמשנה ליועץ המשפטי לממשלה; יו""ר המועצה הציבורית להגנת הפרטיות. לשעבר היועץ המשפטי לאגודה לזכויות האזרח ומשנה ליועץ המשפטי לממשלה, היום פעיל בארגונים של החברה האזרחית",,,,,,,,,,,,9
יעל שלגי,איש,,,,,,,,,,,,,,,,,10
שירה רודמן,איש,,,,,,,,,,,,,,,,,11
קרן חינוך ארצות הברית - ישראל,קרן,,USIEF,,,"האחראית לניהול השתתפות ישראל בתוכנית פולברייט היא קרן חינוך ארצות הברית - ישראל, שנוסדה ב-1956 על ידי ממשלות ארצות הברית וישראל",,1956,,,,,,,,,,12
קרן משפחת ג'ייקובסון (בוסטון),קרן,,,,"ארה""ב",כיום קרן one8,,,,,,,,,,,,13
קמרון,ארגון,"	קמרון ניהול קיימות בע""מ (חל""צ)",,514465517,,מארגוני ברית התשתית של החברה האזרחית,,,,,,,,,,,,14
קרן one8,קרן,,,,"ארה""ב",בעבר נקראה קרן משפחת גייקובסון,,,,,,,,,,,,15
מיזם ממשלה - חברה אזרחית,מיזם,,,,,,,,,,,,,,,,,16
מיכאיל קרייני,איש,,,,,,,,,,,,,,,,,17
באנה שגרי בדארנה,איש,,,,,,,,,,,,,,,,,18
גלית שגיא,איש,,,,,,,,,,,,,,,,,19
